T22,Land,,,,,
496,Mongolia,2010,Forest cover (thousand hectares),13039.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Arable land (% of total land area),0.3952,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Permanent crops (% of total land area),0.0019,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Forest cover (% of total land area),8.3931,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),37.1578,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
496,Mongolia,2017,Land area (thousand hectares),155725.5400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Arable land (thousand hectares),567.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Permanent crops (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Forest cover (thousand hectares),12552.8000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Arable land (% of total land area),0.3642,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Permanent crops (% of total land area),0.0032,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Forest cover (% of total land area),8.0608,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7337,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
496,Mongolia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7337,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
499,Montenegro,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1112,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
499,Montenegro,2010,Land area (thousand hectares),1345.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Arable land (thousand hectares),172.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Permanent crops (thousand hectares),16.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Forest cover (thousand hectares),827.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Arable land (% of total land area),12.7881,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Permanent crops (% of total land area),1.1896,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Forest cover (% of total land area),61.4870,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1112,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
499,Montenegro,2017,Land area (thousand hectares),1345.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Arable land (thousand hectares),9.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Permanent crops (thousand hectares),5.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Forest cover (thousand hectares),827.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Arable land (% of total land area),0.6840,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Permanent crops (% of total land area),0.4015,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Forest cover (% of total land area),61.4870,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
499,Montenegro,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1112,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
499,Montenegro,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1112,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
500,Montserrat,2005,Land area (thousand hectares),10.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2005,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2005,Forest cover (thousand hectares),2.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2005,Arable land (% of total land area),20.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2005,Forest cover (% of total land area),25.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
500,Montserrat,2010,Land area (thousand hectares),10.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2010,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2010,Forest cover (thousand hectares),2.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2010,Arable land (% of total land area),20.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2010,Forest cover (% of total land area),25.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
500,Montserrat,2017,Land area (thousand hectares),10.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2017,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2017,Forest cover (thousand hectares),2.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2017,Arable land (% of total land area),20.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2017,Forest cover (% of total land area),25.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
500,Montserrat,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),30.6273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
500,Montserrat,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),30.6273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
504,Morocco,2005,Land area (thousand hectares),44630.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
504,Morocco,2005,Arable land (thousand hectares),8122.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
504,Morocco,2005,Permanent crops (thousand hectares),867.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
